"name","phone","website","email","email_status","address","latitude","longitude","rating","rating_count","category","search_term","search_type","search_location","url"
"NCR REFRIGERATIONS |ac repair service |ac install & uninstall |ac on rent |ac copper pipe under ground line","+91 90453 03203",,"","","Shop No. 4A, Bisakh Thana Road, opposite Little Millennium school, Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201318, India",28.5733253,77.4471877,5,"35","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/NCR+REFRIGERATIONS+%7Cac+repair+service+%7Cac+install+%26+uninstall+%7Cac+on+rent+%7Cac+copper+pipe+under+ground+line/data=!4m7!3m6!1s0x390ce90f03897275:0x3c67033445553494!8m2!3d28.5733253!4d77.4471877!16s%2Fg%2F11y3mc_55y!19sChIJdXKJAw_pDDkRlDRVRTQDZzw?authuser=0&hl=en&rclk=1"
"Falak Engineering",,,"","","Shop no. 04, Main, Bisrakh Rd, near Post office, Sector 1, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5743881,77.4426547,4.7,"108","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Falak+Engineering/data=!4m7!3m6!1s0x390cef45567c2e39:0x1201a41d055ccf55!8m2!3d28.5743881!4d77.4426547!16s%2Fg%2F11r6v0bb7j!19sChIJOS58VkXvDDkRVc9cBR2kARI?authuser=0&hl=en&rclk=1"
"Achint Refrigeration and Ac repairs Limited",,,"","","Shop No. LGF-003, krystal heights, Greater Noida W Rd, Sector 1, Aimnabad, Bisrakh Jalalpur, Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5616972,77.4501518,5,"1","Repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Achint+Refrigeration+and+Ac+repairs+Limited/data=!4m7!3m6!1s0x390cefcf1e02a121:0xfdd6b498204d5087!8m2!3d28.5616972!4d77.4501518!16s%2Fg%2F11z4z8dd7w!19sChIJIaECHs_vDDkRh1BNIJi01v0?authuser=0&hl=en&rclk=1"
"Nitin Ac Repair Service","+91 88595 11134",,"","","Ma Bhagwati Plaza, 15, opposite Rhythm County Society, Aimnabad, Greater Noida, Uttar Pradesh 201318, India",28.5550717,77.4452164,5,"16","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Nitin+Ac+Repair+Service/data=!4m7!3m6!1s0x390cef56dd6be7fd:0xc7e4622816e8a04c!8m2!3d28.5550717!4d77.4452164!16s%2Fg%2F11x6t2p7t3!19sChIJ_edr3VbvDDkRTKDoFihi5Mc?authuser=0&hl=en&rclk=1"
"Royal Air Conditioner |ac repair service|ac gas filling service|ac installation service|ac pcb repair|ac on rent","+91 90693 64662",,"","","shop no.11, MS Plaza, near Inden gas agency, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201306, India",28.5636717,77.4465971,4.7,"21","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Royal+Air+Conditioner+%7Cac+repair+service%7Cac+gas+filling+service%7Cac+installation+service%7Cac+pcb+repair%7Cac+on+rent/data=!4m7!3m6!1s0x390cef8aa4896a01:0x58cdd7954a649ca6!8m2!3d28.5636717!4d77.4465971!16s%2Fg%2F11txhqswc6!19sChIJAWqJpIrvDDkRppxkSpXXzVg?authuser=0&hl=en&rclk=1"
"Arman ac home service","+91 99971 72720",,"","","Khairpur Gurjar, Knowledge Park V, Greater Noida, Uttar Pradesh 201306, India",28.5683539,77.4688447,5,"19","Electrical installation service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Arman+ac+home+service/data=!4m7!3m6!1s0x390cefa5444e35fb:0x17c374e0d1545a20!8m2!3d28.5683539!4d77.4688447!16s%2Fg%2F11x1967n3y!19sChIJ-zVORKXvDDkRIFpU0eB0wxc?authuser=0&hl=en&rclk=1"
"Super Bright Electrical/A.C/ Refrigeration & R.O services.(All home appliances service and repair)","+91 99714 12251",,"","","Twin county Ace divino sector 01 aimnabad bisrakh, road, sector 01, Greater Noida, Uttar Pradesh 201318, India",28.5573267,77.4424039,4.5,"41","Water filter supplier","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Super+Bright+Electrical%2FA.C%2F+Refrigeration+%26+R.O+services.%28All+home+appliances+service+and+repair%29/data=!4m7!3m6!1s0x390cef04eeea33df:0x1f13d06498228c20!8m2!3d28.5573267!4d77.4424039!16s%2Fg%2F11rcjkfffs!19sChIJ3zPq7gTvDDkRIIwimGTQEx8?authuser=0&hl=en&rclk=1"
"Mohit AC Service","+91 99992 74130",,"","","Office No 19, Upper Ground Floor, Twin City walk, Sector 1, Noida Extension, Patwari, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201306, India",28.5613241,77.4551183,5,"4","Home help","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Mohit+AC+Service/data=!4m7!3m6!1s0x390cef79f16142e7:0x9c4b0bfb33268cf8!8m2!3d28.5613241!4d77.4551183!16s%2Fg%2F11z4sv_v8v!19sChIJ50Jh8XnvDDkR-IwmM_sLS5w?authuser=0&hl=en&rclk=1"
"AC Repairing and Service","+91 85958 50592",,"","","Coco County, Vaidpura, Greater Noida, Uttar Pradesh 203207, India",28.5706905,77.480549,5,"7","Machine repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/AC+Repairing+and+Service/data=!4m7!3m6!1s0x390ced001cdc00fb:0x61d5b0b83c88b874!8m2!3d28.5706905!4d77.480549!16s%2Fg%2F11z2r_7jv_!19sChIJ-wDcHADtDDkRdLiIPLiw1WE?authuser=0&hl=en&rclk=1"
"High Cool Air Condition -ac rent noida\window ac rent in noida\window ac rent in greater noida","+91 98375 11693",,"","","shop no-2, near krishna dryclean, UPSIDC Site A, Surajpur, Greater Noida, Habibpur, Uttar Pradesh 201306, India",28.528207,77.4704037,4.4,"65","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/High+Cool+Air+Condition+-ac+rent+noida%5Cwindow+ac+rent+in+noida%5Cwindow+ac+rent+in+greater+noida/data=!4m7!3m6!1s0x390ceb9b3acedf81:0x273a0db4c53d46ca!8m2!3d28.528207!4d77.4704037!16s%2Fg%2F11kb1shrdr!19sChIJgd_OOpvrDDkRykY9xbQNOic?authuser=0&hl=en&rclk=1"
